start,low_rsi_entry,rsi_exit,cagr,annualized_vol,max_drawdown,final_multiple,override_entries,override_exits,override_day_share,wait_exit_day_share
2010-02-12,30.0,30.0,1.0174427207234622,0.641052079490425,-0.6621446903430857,83477.98706093318,11,11,0.004669451953797002,0.002703366920619317
2010-02-12,30.0,30.5,1.0174427207234622,0.641052079490425,-0.6621446903430857,83477.98706093318,11,11,0.004669451953797002,0.002703366920619317
2010-02-12,30.0,31.0,1.0174427207234622,0.641052079490425,-0.6621446903430857,83477.98706093318,11,11,0.004669451953797002,0.002703366920619317
2010-02-12,30.0,31.5,1.0267581931216112,0.640901721723843,-0.6621446903430854,89924.35123998136,11,11,0.004915212582944212,0.002703366920619317
2010-02-12,30.0,32.0,1.0162142782223484,0.6406302332681251,-0.6621446903430854,82661.00765644936,11,11,0.005406733841238634,0.002703366920619317
2010-02-12,30.0,32.5,1.041463968029738,0.6402501262384445,-0.6621446903430857,101058.95890917839,11,11,0.005898255099533055,0.002703366920619317
2010-02-12,30.0,33.0,1.0390436023709775,0.6400463362072314,-0.6621446903430858,99141.58869433978,10,10,0.0061440157286802655,0.002457606291472106
2010-02-12,30.0,33.5,1.0357374617075847,0.640352657838426,-0.6621446903430858,96577.61895465186,10,10,0.006881297616121897,0.002457606291472106
2010-02-12,30.0,34.0,1.0357374617075847,0.640352657838426,-0.6621446903430858,96577.61895465186,10,10,0.006881297616121897,0.002457606291472106
2010-02-12,30.0,34.5,1.0357374617075847,0.640352657838426,-0.6621446903430858,96577.61895465186,10,10,0.006881297616121897,0.002457606291472106
2010-02-12,30.0,35.0,1.031219176050865,0.6402653923248637,-0.6621446903430859,93174.08125994429,9,9,0.007372818874416319,0.0022118456623248955
2010-02-12,30.0,35.5,1.031219176050865,0.6402653923248637,-0.6621446903430859,93174.08125994429,9,9,0.007372818874416319,0.0022118456623248955
2010-02-12,30.0,36.0,1.031219176050865,0.6402653923248637,-0.6621446903430859,93174.08125994429,9,9,0.007372818874416319,0.0022118456623248955
2010-02-12,30.0,36.5,1.031219176050865,0.6402653923248637,-0.6621446903430859,93174.08125994429,9,9,0.007372818874416319,0.0022118456623248955
2010-02-12,30.0,37.0,1.031219176050865,0.6402653923248637,-0.6621446903430859,93174.08125994429,9,9,0.007372818874416319,0.0022118456623248955
2010-02-12,30.0,37.5,1.0309387826129521,0.6404314630426422,-0.6621446903430859,92966.61888199965,9,9,0.007618579503563529,0.0022118456623248955
2010-02-12,30.0,38.0,1.0310927835790493,0.6404516034351999,-0.6621446903430859,93080.51009510903,9,9,0.00786434013271074,0.0022118456623248955
2010-02-12,30.0,38.5,1.0203546497471887,0.6419826980860309,-0.6621446903430857,85444.93307455523,9,9,0.00860162202015237,0.0022118456623248955
2010-02-12,30.0,39.0,1.0203546497471887,0.6419826980860309,-0.6621446903430857,85444.93307455523,9,9,0.00860162202015237,0.0022118456623248955
2010-02-12,30.0,39.5,1.0139798800854427,0.6422527203054587,-0.6621446903430857,81194.20915748407,9,9,0.009093143278446793,0.0022118456623248955
2010-02-12,30.0,40.0,1.0139798800854427,0.6422527203054587,-0.6621446903430857,81194.20915748407,9,9,0.009093143278446793,0.0022118456623248955
2010-02-12,30.0,40.5,1.034648895958981,0.642956781908037,-0.6621446903430854,95747.12085173014,9,9,0.010567707053330056,0.0022118456623248955
2010-02-12,30.0,41.0,0.9473763203636099,0.6475807797030815,-0.6992207718398022,47173.35348860248,9,9,0.015237159007127058,0.0022118456623248955
2010-02-12,30.0,41.5,0.9542145120499264,0.6487965258722099,-0.6992207718398022,49920.37722159111,9,9,0.015482919636274269,0.0022118456623248955
2010-02-12,30.0,42.0,0.9542145120499264,0.6487965258722099,-0.6992207718398022,49920.37722159111,9,9,0.015482919636274269,0.0022118456623248955
2010-02-12,30.0,42.5,0.948442837847157,0.6499825891046701,-0.6992207718398021,47592.24758832974,8,8,0.01720324404030474,0.001966085033177685
2010-02-12,30.0,43.0,0.9472079824729718,0.6504861747209751,-0.6992207718398021,47107.552624255775,8,8,0.017694765298599164,0.001966085033177685
2010-02-12,30.0,43.5,0.9508177372336826,0.6503760925941474,-0.6992207718398021,48537.60148584092,8,8,0.017940525927746375,0.001966085033177685
2010-02-12,30.0,44.0,0.9362175884787474,0.6504083863917836,-0.6992207718398021,42993.09724996311,8,8,0.018186286556893586,0.001966085033177685
