date,candidate_id,delay,tqqq_weight,gross_return,trading_cost,net_return,nav_1000
1996-01-02,total_vol_40_32,0,0.0,0.004993229045662498,0.0005008280700972822,0.004492400975565216,1004.4924009755651
1996-01-03,total_vol_40_32,0,0.0,0.005457949709421872,9.029455218602934e-07,0.005457046763900012,1009.9739629816709
1996-01-04,total_vol_40_32,0,0.0,-0.002710026359406731,8.113270150391094e-07,-0.00271083768642177,1007.2360875005153
1996-01-05,total_vol_40_32,0,0.0,0.000808875595453244,5.947640867637743e-07,0.0008082808313664803,1008.0502171227026
1996-01-08,total_vol_40_32,0,0.0,-0.0016992592726237023,8.599180115508864e-07,-0.0017001191906352532,1006.3364116034484
1996-01-09,total_vol_40_32,0,0.0,-0.0008982423082977857,7.150563966742407e-07,-0.0008989573646944599,1005.4317580748773
1996-01-10,total_vol_40_32,0,0.0,-0.0008473863065690616,2.4428198371576337e-06,-0.0008498291264062192,1004.5773128822515
1996-01-11,total_vol_40_32,0,0.0,-0.005306447916390216,1.6677753100875215e-06,-0.005308115691700303,999.2449002842151
1996-01-12,total_vol_40_32,0,0.0,-0.000736171346598332,8.028958444819545e-07,-0.000736974242442814,998.5084825308132
1996-01-15,total_vol_40_32,0,0.0,-0.004650282425282455,9.210439227945594e-07,-0.004651203469205249,993.864216412835
1996-01-16,total_vol_40_32,0,0.0,-0.0003712702766466326,1.6020497473451107e-06,-0.0003728723263939777,993.4936319503415
1996-01-17,total_vol_40_32,0,0.0,0.0049642628293348826,9.960117310965772e-07,0.004963266817603786,998.4246059273014
1996-01-18,total_vol_40_32,0,0.0,0.003032588197195056,7.888430643012423e-07,0.0030317993541307546,1001.4516290027
1996-01-19,total_vol_40_32,0,0.0,0.0007320271652113351,5.765824535162584e-07,0.0007314505827578188,1002.1841413803378
1996-01-22,total_vol_40_32,0,0.0,-0.0027059925971917604,1.7476412895399002e-06,-0.0027077402384813004,999.4704870543545
1996-01-23,total_vol_40_32,0,0.0,0.0011130862494686045,4.916309085098991e-07,0.0011125946185600946,1000.582492539661
1996-01-24,total_vol_40_32,0,0.0,0.0012961812337548293,6.926042387771503e-07,0.0012954886295160522,1001.8787357816387
1996-01-25,total_vol_40_32,0,0.0,-0.002626633306766577,2.1384392301659337e-06,-0.002628771745996743,999.2450252681011
1996-01-26,total_vol_40_32,0,0.0,0.003901965623270942,7.251761171748056e-07,0.0039012404471537674,1003.1433203772941
1996-01-29,total_vol_40_32,0,0.0,-0.00017239807042292223,1.0722511991082123e-06,-0.00017347032162203044,1002.9693047828752
1996-01-30,total_vol_40_32,0,0.0,0.00658075339072202,7.31725794542823e-07,0.006580021664927477,1009.5688645376038
1996-01-31,total_vol_40_32,0,0.0,0.0029772602074554285,9.06104994909826e-07,0.002976354102460519,1012.5736989692866
1996-02-01,total_vol_40_32,0,0.0,0.0009258442026929894,1.3007437814750444e-06,0.0009245434589115144,1013.5098673593345
1996-02-02,total_vol_40_32,0,0.0,0.003630530362423477,1.586422740030541e-06,0.0036289439396834464,1017.1878378502977
1996-02-05,total_vol_40_32,0,0.0,-0.009930530622164887,3.3077593686739044e-06,-0.00993383838153356,1007.0832582654313
1996-02-06,total_vol_40_32,0,0.0,0.002709179608074602,1.7520567622019007e-06,0.0027074275513124,1009.8098632253245
1996-02-07,total_vol_40_32,0,0.0,0.004134116255821243,6.861826172577524e-07,0.004133430073203985,1013.983841682198
