cagr,annualized_vol,max_drawdown,final_multiple,filter_name,uvix_entries,uvix_exits,skipped_uvix_entry_days,uvix_day_share,low_rsi_entries,low_rsi_exits,episode_count,episode_win_rate,episode_avg_return_pct,episode_median_return_pct,window,min_z,cagr_delta_vs_baseline,mdd_delta_vs_baseline,episode_win_rate_delta_vs_baseline
1.2067517432340442,0.6306481523337262,-0.6568036304375768,355244.52569269954,skip_gspc_bb20_z_lte_1p60,99,98,69,0.07028753993610223,11,11,87,0.7126436781609196,4.587519790710594,3.6407004553887123,20.0,1.6,0.14219383036125288,4.440892098500626e-16,0.04254058537741445
1.1882129423688483,0.6357487908746764,-0.6568036304375772,310003.8631688344,skip_gspc_bb5_z_lte_1p20,111,110,40,0.07741459818137135,11,11,98,0.6836734693877551,4.012720206552834,3.0372271245236226,5.0,1.2,0.123655029496057,1.1102230246251565e-16,0.013570376604249978
1.1834121105166626,0.6302713523648246,-0.6493805487564681,299202.4691993195,skip_gspc_bb5_z_lte_1p45,97,96,84,0.06635536986974687,11,11,89,0.7078651685393258,4.961512006949058,3.4140456517750106,5.0,1.45,0.11885419764387128,0.007423081681109167,0.03776207575582069
1.1746021444338508,0.6346584408499526,-0.6568036304375776,280293.42876311066,skip_gspc_bb5_z_lte_1p25,107,106,47,0.07569427377734086,11,11,94,0.7021276595744681,4.214767394602088,3.0372271245236226,5.0,1.25,0.11004423156105947,-3.3306690738754696e-16,0.032024566790962994
1.16725085069886,0.6385270040462724,-0.6568036304375775,265379.21950666106,skip_gspc_bb30_z_lte_1p50,121,120,33,0.08011796510199067,11,11,96,0.7083333333333334,4.259246208750326,3.3686812272956668,30.0,1.5,0.10269293782606859,-2.220446049250313e-16,0.038230240549828265
1.1654169920121138,0.6329927807095705,-0.6493805487564677,261776.50530427083,skip_gspc_bb5_z_lte_1p40,100,99,70,0.06979601867780781,11,11,92,0.7065217391304348,4.54402842409405,3.2087335467704703,5.0,1.4,0.10085907913932246,0.007423081681109611,0.036418646346929706
1.1599736446595932,0.6336577848696054,-0.6568036304375773,251351.0822709065,skip_gspc_bb5_z_lte_1p30,105,104,51,0.07471123126075203,11,11,94,0.6914893617021277,4.208293477387244,3.0372271245236226,5.0,1.3,0.09541573178680185,0.0,0.02138626891862261
1.1595800070137439,0.6369827333197826,-0.6568036304375776,250612.4695659223,skip_gspc_bb25_z_lte_1p50,112,111,42,0.07790611943966577,11,11,88,0.6931818181818182,4.4394000786484655,3.422646941014129,25.0,1.5,0.09502209414095253,-3.3306690738754696e-16,0.023078725398313127
1.1591176076599692,0.6288159134844056,-0.6493805487564681,249747.43464420302,skip_gspc_bb5_z_lte_1p50,91,90,96,0.06340624231998034,11,11,85,0.7058823529411765,4.976946533500086,3.323316802816323,5.0,1.5,0.09455969478717785,0.007423081681109167,0.03577926015767141
1.1569928359460286,0.6382838497303458,-0.6568036304375776,245808.3949816293,skip_gspc_bb25_z_lte_1p45,114,113,33,0.08011796510199067,11,11,91,0.6813186813186813,4.2398513048027375,3.323316802816323,25.0,1.45,0.09243492307323731,-3.3306690738754696e-16,0.011215588535176235
1.152691999672899,0.6373113068107206,-0.6568036304375773,238012.92846359656,skip_gspc_bb5_z_lte_1p05,117,116,27,0.08110100761857951,11,11,98,0.6938775510204082,3.9487895574950653,3.3686812272956668,5.0,1.05,0.0881340868001077,0.0,0.02377445823690305
1.1522995094374036,0.6326772541796852,-0.6568036304375771,237313.19108481955,skip_gspc_bb10_z_lte_1p55,101,100,62,0.0720078643401327,11,11,85,0.7176470588235294,4.576901603821145,3.323316802816323,10.0,1.55,0.08774159656461222,2.220446049250313e-16,0.04754396604002431
1.1521401838112801,0.6334837831932654,-0.6568036304375777,237029.69406708423,skip_gspc_bb25_z_lte_1p55,109,108,52,0.07495699188989924,11,11,86,0.6976744186046512,4.283113386242611,3.4359824594554222,25.0,1.55,0.0875822709384888,-4.440892098500626e-16,0.027571325821146075
1.149174146210787,0.6392293591256488,-0.6568036304375774,231809.71391384842,skip_gspc_bb30_z_lte_1p45,122,121,25,0.08208405013516834,11,11,96,0.6875,4.1367501351488025,3.3686812272956668,30.0,1.45,0.08461623333799562,-1.1102230246251565e-16,0.017396907216494895
1.1461937585104738,0.6370520609530071,-0.6568036304375773,226673.24526843143,skip_gspc_bb5_z_lte_1p15,114,113,30,0.08036372573113787,11,11,96,0.6979166666666666,4.054874973222815,3.3686812272956668,5.0,1.15,0.08163584563768245,0.0,0.027813573883161524
1.1460146235729662,0.6315807013982718,-0.6568036304375775,226367.94704759514,skip_gspc_bb20_z_lte_1p55,100,99,56,0.0739739493733104,11,11,82,0.6951219512195121,4.521058678390556,3.6622979901351993,20.0,1.55,0.0814567107001749,-2.220446049250313e-16,0.02501885843600704
1.145890167676217,0.6370833668426109,-0.6568036304375773,226156.06500769663,skip_gspc_bb5_z_lte_1p10,115,114,29,0.08060948636028509,11,11,97,0.6907216494845361,3.98566252522091,3.323316802816323,5.0,1.1,0.08133225480342565,0.0,0.020618556701030966
1.1451542008374807,0.6379069204276218,-0.656803630437577,224906.9038877141,skip_gspc_bb5_z_lte_0p90,123,122,17,0.08355861391005161,11,11,100,0.68,3.8015126857943753,3.2087335467704703,5.0,0.9,0.08059628796468932,3.3306690738754696e-16,0.009896907216494943
1.1444885799962856,0.6379167781382983,-0.6568036304375773,223782.71819908498,skip_gspc_bb5_z_lte_0p95,122,121,18,0.0833128532809044,11,11,100,0.68,3.812664241658701,3.2087335467704703,5.0,0.95,0.07993066712349428,0.0,0.009896907216494943
1.1427613337652014,0.6389913990986552,-0.6568036304375773,220890.06050350732,skip_gspc_bb25_z_lte_1p40,115,114,25,0.08232981076431556,11,11,94,0.6808510638297872,4.102464821323618,3.2087335467704703,25.0,1.4,0.07820342089241006,0.0,0.010747971046282112
1.1412941971505086,0.6364180170784963,-0.6568036304375776,218460.60197912587,skip_gspc_bb10_z_lte_1p35,112,111,32,0.08011796510199067,11,11,92,0.6847826086956522,4.182819129874391,3.4273811702163037,10.0,1.35,0.07673628427771728,-3.3306690738754696e-16,0.014679515912147112
1.1365503613732768,0.6374273175346715,-0.6568036304375775,210775.63610918977,skip_gspc_bb5_z_lte_1p00,117,116,24,0.08183828950602114,11,11,97,0.6907216494845361,3.9282252941898,3.4140456517750106,5.0,1.0,0.07199244850048547,-2.220446049250313e-16,0.020618556701030966
1.129226611011807,0.639466650708727,-0.6568036304375773,199407.4932017388,skip_gspc_bb25_z_lte_1p35,119,118,21,0.0833128532809044,11,11,96,0.6875,4.07609499305265,3.2087335467704703,25.0,1.35,0.06466869813901566,0.0,0.017396907216494895
1.1264110258934612,0.6392430469638022,-0.6568036304375775,195192.16478723858,skip_gspc_bb30_z_lte_1p40,123,122,19,0.08355861391005161,11,11,95,0.6736842105263158,3.9560475247538163,3.323316802816323,30.0,1.4,0.06185311302066987,-2.220446049250313e-16,0.003581117742810669
1.12626822205333,0.6331638435719081,-0.6568036304375774,194980.61074499658,skip_gspc_bb5_z_lte_1p35,103,102,53,0.07421971000245761,11,11,92,0.6847826086956522,4.174306169820581,2.9800873843228493,5.0,1.35,0.06171030918053866,-1.1102230246251565e-16,0.014679515912147112
1.1220128433892524,0.6357527700107257,-0.6568036304375771,188774.37275334809,skip_gspc_bb30_z_lte_1p55,113,112,45,0.07716883755222413,11,11,91,0.7252747252747253,4.374527868256127,3.4140456517750106,30.0,1.55,0.05745493051646111,2.220446049250313e-16,0.055171632491220146
1.121175858086398,0.6274727347237345,-0.6493805487564676,187575.69300376237,skip_gspc_bb5_z_lte_1p55,87,86,103,0.061685917915949864,11,11,81,0.7037037037037037,5.003891563455019,3.323316802816323,5.0,1.55,0.056617945213606635,0.007423081681109722,0.033600610920198615
1.1174420486347234,0.6297008064165709,-0.6568036304375775,182314.8052948586,skip_gspc_bb25_z_lte_1p60,100,99,72,0.06955025804866061,11,11,81,0.691358024691358,4.694254953326203,3.8838792916128018,25.0,1.6,0.05288413576193207,-2.220446049250313e-16,0.02125493190785288
1.116922249119404,0.6247767830132998,-0.6493805487564681,181593.48826315283,skip_gspc_bb15_z_lte_1p75,85,84,101,0.061931678545097076,11,11,76,0.7763157894736842,5.036926763484853,3.7584639121113095,15.0,1.75,0.05236433624661263,0.007423081681109167,0.10621269669017908
1.1158526685275225,0.6389259510550317,-0.6568036304375773,180117.66284856704,skip_gspc_bb50_z_lte_1p50,126,125,8,0.08626198083067092,11,11,95,0.6736842105263158,4.00262631351839,3.323316802816323,50.0,1.5,0.05129475565473118,0.0,0.003581117742810669
