Date,gspc_open_implied_rsi14,GSPC_BB_Z,GSPC_BB_WINDOW,GSPC_OPEN,GSPC_SMA160_PREV_CLOSE,TQQQ_OPEN,TQQQ_DIRECT_PEAK_DRAWDOWN_PCT,DRAWDOWN_ALPHA_PCT,drawdown_trigger,base_target_regime_at_open,selected_leg,action,strategy_return,strategy_equity
2010-02-12,43.03781219399802,-0.36669319621989355,14,1075.949951171875,1050.830561065674,0.20044845858180238,0.0,40.5,False,TQQQ,TQQQ,,0.004092164272333054,1.004092164272333
2010-02-16,44.48138376679496,-0.04472609267280825,14,1079.1300048828125,1051.8008735656738,0.21176226352125146,0.0,40.5,False,TQQQ,TQQQ,,0.038736173471820345,1.0429868525292816
2010-02-17,50.90888954596782,1.1487395357643542,14,1096.1400146484375,1052.9006858825683,0.21779119244131762,0.0,40.5,False,TQQQ,TQQQ,,0.016970007341968074,1.0606863470742796
2010-02-18,51.894853574035125,1.3259576558942643,14,1099.030029296875,1053.9774360656738,0.2183371301338427,0.0,40.5,False,TQQQ,TQQQ,,0.01895814052934286,1.080794987899669
2010-02-19,54.07086423841737,1.50341288097133,14,1105.489990234375,1055.1488735198975,0.22118964191880253,0.0,40.5,False,TQQQ,TQQQ,,0.0,1.080794987899669
2010-02-22,55.74950788883095,1.5043514594377698,14,1110.0,1056.3103736877442,0.22533312300556807,0.0,40.5,False,TQQQ,TQQQ,,-0.007020297042985568,1.0732074860420433
2010-02-23,54.66929570308675,1.2061974211052726,14,1107.489990234375,1057.6328113555908,0.2199244149037374,0.0,40.5,False,TQQQ,TQQQ,,-0.0390419217520106,1.0313074033483178
2010-02-24,49.66688728613735,0.6191456841201018,14,1095.8900146484375,1058.8570613861084,0.21625254032140215,0.0,40.5,False,TQQQ,TQQQ,,0.030240182740999932,1.062494327687717
2010-02-25,51.59995621991716,0.864201229380021,14,1101.239990234375,1060.2583736419679,0.21193566143350326,0.0,40.5,False,TQQQ,TQQQ,,-0.0005700939572831354,1.0618886060918546
2010-02-26,52.388852183924,0.8385347789338115,14,1103.0999755859375,1061.6544982910157,0.21816279478482598,0.0,40.5,False,TQQQ,TQQQ,,0.012474990532172603,1.0751356563990726
2010-03-01,53.34894260432026,0.8446557951747052,14,1105.3599853515625,1063.0408107757569,0.22434132514498178,0.0,40.5,False,TQQQ,TQQQ,,0.042894115141727696,1.1212526490376313
2010-03-02,57.95909568105136,1.4398357450304844,14,1117.010009765625,1064.5194355010985,0.23307414846748362,0.0,40.5,False,TQQQ,TQQQ,,0.006012254372556036,1.1279939051795478
2010-03-03,58.864728922532194,1.4254020007539507,14,1119.3599853515625,1065.8773109436036,0.2350348661967643,0.0,40.5,False,TQQQ,TQQQ,,0.005554155095777391,1.1342589582760065
2010-03-04,58.78030231097726,1.331940085361413,14,1119.1199951171875,1067.2082485198976,0.2345385162617609,0.0,40.5,False,TQQQ,TQQQ,,0.011039111653239342,1.1467801695601023
2010-03-05,61.241406846840114,1.6648375535738054,14,1125.1199951171875,1068.3975608825683,0.24133633962354864,0.0,40.5,False,TQQQ,TQQQ,,0.044201820539013115,1.197469940812697
2010-03-08,65.85538708445986,2.4602262337504137,14,1138.4000244140625,1069.6348106384278,0.2469689561331623,0.0,40.5,False,TQQQ,TQQQ,,0.005332519746628517,1.2038554729180748
2010-03-09,65.27130287992351,1.9017720150306714,14,1137.56005859375,1070.8730606079102,0.2466954786563391,0.0,40.5,False,TQQQ,TQQQ,,0.017701847459578035,1.2251659388630487
2010-03-10,66.43804876315133,1.7236682539586918,14,1140.219970703125,1072.0563102722167,0.25279974289495316,0.0,40.5,False,TQQQ,UVIX,enter_uvix_high_rsi_bb,0.0209853880873192,1.2508765215614546
2010-03-11,67.16713396486082,1.6052091071452053,14,1143.9599609375,1073.2502475738524,0.25706707477949237,0.0,40.5,False,TQQQ,TQQQ,exit_uvix_gspc_profit,0.07210468563724848,1.341070579919658
2010-03-12,70.50812618833896,1.7279888598257194,14,1151.7099609375,1074.476309967041,0.2638895979872641,0.0,40.5,False,TQQQ,UVIX,enter_uvix_high_rsi_bb,-0.010230582567048896,1.3273506466235498
2010-03-15,68.55212456943053,1.2991164634609444,14,1148.530029296875,1075.5619350433349,0.25987001167700957,0.0,40.5,False,TQQQ,TQQQ,exit_uvix_gspc_profit,0.03950380002512888,1.3797860411309921
2010-03-16,70.12376769122032,1.2718574975964554,14,1150.8299560546875,1076.6322475433349,0.26240143109959935,0.0,40.5,False,TQQQ,UVIX,enter_uvix_high_rsi_bb,-0.01727307552445445,1.3559528926349484
2010-03-17,73.36380736602912,1.5408270400895647,14,1159.93994140625,1077.7402473449706,0.2655026951282031,0.0,40.5,False,TQQQ,TQQQ,exit_uvix_gspc_profit,-0.057196899510603916,1.2783965912937947
2010-03-18,75.2615671631969,1.6422465303888851,14,1166.1300048828125,1078.9064346313476,0.26751199855464725,0.0,40.5,False,TQQQ,UVIX,enter_uvix_high_rsi_bb,-0.02431120854865476,1.2473172251549618
2010-03-19,75.26238925452641,1.5169000231507377,14,1166.6800537109375,1080.0981842041015,0.2645347096236503,0.0,40.5,False,TQQQ,TQQQ,exit_uvix_gspc_profit,-0.03712597599479828,1.2010093557959602
2010-03-22,66.95123747677073,0.8087672630660306,14,1157.25,1081.1803718566894,0.26143354519706946,0.0,40.5,False,TQQQ,TQQQ,,0.027011900215292206,1.233450900672353
2010-03-23,71.89290648791658,1.262480909448179,14,1166.469970703125,1082.2949348449706,0.2735408927162865,0.0,40.5,False,TQQQ,UVIX,enter_uvix_high_rsi_bb,-0.03262001363169109,1.1932157154783993
2010-03-24,73.11825840746451,1.5233065378483248,14,1172.699951171875,1083.3670600891114,0.2754026165336184,0.0,40.5,False,TQQQ,TQQQ,exit_uvix_gspc_profit,0.013458349182569052,1.2092744292274367
2010-03-25,69.63035079726289,1.2924089589559065,14,1170.030029296875,1084.379997253418,0.280091067697814,0.0,40.5,False,TQQQ,UVIX,enter_uvix_high_rsi_bb,0.09708318814687811,1.3266746461613326
2010-03-26,67.7962054580748,0.9683982944263813,14,1167.5799560546875,1085.3988098144532,0.27557605618902997,0.0,40.5,False,TQQQ,TQQQ,exit_uvix_gspc_profit,0.0016149607936886134,1.3288171737008638
2010-03-29,67.8887088225018,0.8846549172747326,14,1167.7099609375,1086.4582469940185,0.27723851788901216,0.0,40.5,False,TQQQ,TQQQ,,0.013716039710269579,1.347043282823033
